No,Link,Keywords
46,http://www.childclassics.com/,"""aesop's fables, Aesop's Fables audio, aesop, fables mpeg, Aesop's Fables in mp3 format with music and sound effects that help bring the characters to life, children's stories audio. Online stories"">

<meta name=""keywords"" content=""aesop's fables, aesop, Aesop's Fables audio, Aesop's Fables mp3,fables Fairy Tales mp3 audio, children's fables audio, fables, Venus and the cat mp3 audio, The lion and the mosquito,The boy who cried wolf mp3, The donkey and the dog mp3, the Robin and the Fox mp3, mythology audio, children's stories mp3, children's stories audio, children's literature mp3, children's literature audio, children's audio, children's literature."""
47,http://bronzevillechildrensmuseum.com/,"Children's Museum, museum, educating all youth, youth museum, kids museum, African American museum, hands-on children exhibits, hands-on kids exhibits, hands-on exhibits, exhibits, recycling exhibit, healthy diets exhibit, history of Bronzeville, Bronzeville children's museum"
48,http://members.iinet.net.au/~fitzac/home.htm,No keyword given
49,http://www.fleidernet.ch/lars/,"Una familia suizo-argentina, Eine Schweizer-Argentinien Famnilie, A family Swiss-Argentinean, Pets, gatitos, Katzen, Kinder links, Lars zeichnungen, Dibujos y hobbys de Lars, Katzen, gatos, pets, cats"
50,http://www.funbrain.com/words.html,"learning games, educational games, kids learning games, educational games for kids, free educational games, free learning games, educational games online, learning games online, games, kids, pre-k, kindergarten, preschool, grade 1, grade 2, grade 3, grade 4, grade 5, grade 6, grade 7, grade 8, educational, free, online"
51,http://kidshealth.org/en/kids/homealone.html,"home alone, latchkey kid, school, scared, lonely, bored, single, working, parent, emergency, safety, homework, rules, fire, when your parents work"
52,http://www.playkidsgames.com/alphabetGames.htm,No keyword given
53,http://www.evesmag.com/kidswtc1.htm,No keyword given
54,http://www.yuckles.com/halloween.htm,"halloween, animated, kids, costumes, accessories, props, decorations, creepy, spooky"
55,http://www.scituate.k12.ma.us/docent/index.htm,No keyword given
56,http://www.primarygames.com/storybooks/plant/start.htm,No keyword given
57,http://www.madsci.org/experiments/archive/857359255.Ph.html,No keyword given
58,http://www.durangodiscovery.org/,No keyword given
59,http://smartygames.com/,"free,kids,games,jigsaw,puzzles,coloring,colouring,pages,online,flash cards,art,smartygames,educational,children,free kids games"
60,http://www.scoutscan.com/beavers/beavgam1.html,"Scouting, Scouts Canada, Outdoors, Scouts, Camping, Camps, Leaders, Leadership, Toronto, Songs, Games, Spiritual, Skits, Ontario, Haliburton, Jamboree, Beavers, Cubs, Scouts, Venturers, Rovers, Fundraising, Scoutrees, Gilwell, Baden-Powell, Nova Scotia, New Brunswick, Prince Edward Island, PEI, Newfoundland, Quebec, Manitoba, Saskatchewan, Alberta, British Colombia, Yukon, Nunavut, Northwest Territories, Regions, Districts, Areas, Scout, Troops, BPSAC, Knots, Campfires, Jim Speirs"
61,http://www.cyberkids.com/cw/mul/sydney/index.html,
62,http://mars.jpl.nasa.gov/participate/funzone/,"Mars,facts,images,NASA,planet,rover,space,mission"
63,http://optics.synopsys.com/learn/learn-optics-kids.html,"optical design, optics for kids, optical design compeition"
64,http://www.theanimalspot.com/,No keyword given
65,http://www.hbschool.com/glossary/math2/index_temp.html,"elementary, mathematics, division, multiply, multiplication, algebra, formulas, home schooling, subtraction, minus, geometry, pi, measures, perimeters, addends, angles, area, array, graphs, congruent, dictionary, glossary, decimals, denominator, dividend, divisor, fractions, factor, symmetry, numerator, product, point, quotient, prism, remainder, sum, tessellation, tangram,  circumference, coordinate, cosine, square root, diameter, dilation, exponent, histogram, hypotenuse, integers, equation, median, net, percent, perpendicular, polyhedron, quadrilateral, radius, ratio, ray, reciprocal, polygon, polyhedron, tangent, transversal, trigonometric, trigonometry, venn diagram, vertex, axis, acute, equilateral, isosceles, mode, obtuse, rhombus, scalene, trapezoid, variable, symbols, triangle, chord, polynomial"
66,http://alphabetimals.com/,No keyword given
67,http://mpietsch.tripod.com/,No keyword given
68,http://www.tumblebooks.com/,No keyword given
69,http://www.magickeys.com/books/count/index.html,"Books,Children's Books,Storybooks,Children,Kids Stories,Kids Books,Toddler,Juvenile,Teenager,Teen,Young Adult,Reading,Online Books,Illustrated Books,Ebooks,E-Books,Authors,Writers,Illustrators"
71,http://www.lil-fingers.com/holidays/thanksgiving/,"storybooks, thanksgiving, pilgrim, indian, pumpkin, toddler activities, child game, fun, kids thanskgiving"
72,http://www.lil-fingers.com/storybooks/,"stories, story book, storybook online, stories for kids, online books, kids books online, children stories, children's stories, story, kids stories, books,childrens books,storybooks,toddler activities,storybook"
73,http://www.animatedtalltales.com/,"Animated Tall Tales, Fairy Tales, Folktales, Fables, Paul Bunyan, Babe, Pecos Bill, Johnny Appleseed, John Henry, Bunyan, Tall Tales curriculum, Folktales curriculum, Fairy Tales curriculum, stories, legends, American fiction, American tall tales"
74,http://www.fisher-price.com/en_US/GamesAndActivities/onlinegames/LittlePeopleShapesandColorsGame.html,No keyword given
75,http://pbskids.org/webonauts/,No keyword given
76,http://education.jlab.org/atomtour/,"atom,atoms,matter,structure of matter,structure of atoms,science education,education materials,physics,particle physics,nuclear physics,proton,neutron,electron,quark,gluon,atomic structure"
77,http://www.faqkids.com/,No keyword given
78,http://www.kidspsych.org/goshapes.html,No keyword given
79,http://www.angelfire.com/sc2/kidspage/kids.html,No keyword given
80,http://kidshealth.org/en/kids/5-steps.html,"stress, upset, angry, sad, mad, don't know what to do, confused, fighting, fight, bully, parents, counselors, cry, scream, hit, punch, freak out, lose control, feelings, getting mad, crying, stress out, stressed out, managing stress, anger, frustration, frustrated, too busy, worried, worries, worrying, emotions"
81,http://kidshealth.org/en/kids/no-sports.html,"sports, teams, organized sports, team sports, fitness, exercise, athlete, little league, intramurals, what if i don't like sports, getting exercise, kids and exercise"
82,http://www.bry-backmanor.org/picturerecipes.html,"recipes, groceries, cooking, picture
      recipes"
83,http://www.weekiwis.com/recipes.html,"easy recipes for kids, snacks, treats, New Zealand, Kiwis, kids, children, cooking, orange drink, blueberry pancakes, ants on a log, peanut butter cookies, taffy, pizzas, dump cake, pies, Carmen Sandiego, The Learning Company, Mattel, healthy snack"
84,http://www.abc.net.au/schoolstv/animals/,No keyword given
85,http://www.abc.net.au/abcforkids/sites/bananasinpyjamas/,No keyword given
86,http://www.frontiernet.net/~kidpower/astronomy.html,No keyword given
87,http://www.funnymathforkids.com/,"multiplication, math for kids"
89,http://www.factmonster.com/encyclopedia/people/baskerville-john.html,No keyword given
90,http://www.factmonster.com/encyclopedia/people/garamond-claude.html,No keyword given
91,http://bright-ideas-software.com/Sugarbush/Craft/craft.html,No keyword given
92,http://www.colorsofindia.com/calligraphy/open.html,No keyword given
93,http://sunniebunniezz.com/educational/alphabet.htm,"alphabet introduction poem, Rhyme, alphabet, abc's, letters, primary grade, rhyme, poems, poetry, children's activities, harmony"
94,http://www.coloringpagesfree.net/,"Coloring pages for kids free download online, printable painting coloring book, colourings, colouring book, free, cars, food, christmas, kids, children, animals, online, games, page's, comics, cartoons, learn, school, holidays, puzzles, alphabet"
95,http://www.primarygames.com/holidays/halloween/halloween.php,No keyword given
96,http://insectmania.tripod.com/,No keyword given
97,http://itsmystory.net/,"tales, stories, storytellers, children's, kids, child, parents, family, educational, teachers, schools, teaching, writer, writing, author, books, reading, reader, creative, imagination, personalized, wittes"
98,http://www.almanac4kids.com/,No keyword given
99,http://www.bedtime.com/,No keyword given
100,http://www.fables.co.uk/stories.htm,Fairytales.
101,http://www.fairychildren.com/,"Fairy, children, famous, people, films, theatre, stage and pantomimes"
102,http://giraffian.com/kids/alphabet,No keyword given
103,http://www.learningplanet.com/act/fl/aact/index.asp,No keyword given
104,http://giraffian.com/kids/numbers/,No keyword given
105,http://kiddyhouse.com/Themes/colors/colorchange1.html,No keyword given
106,http://www.spaghettibookclub.org/,"book reviews, book reviews by kids for kids, children, children's
book reviews, by kids, by children, for kids, for children, great books for kids, children's literature, publishing, publishing student book reviews, Spaghetti Book Club"
107,http://www.tosiproductions.com/_amazingadventure/,No keyword given
108,http://www.inklesstales.com/,No keyword given
109,http://extension.illinois.edu/foodfun/foodgallery.cfm,No keyword given
110,http://www.squiglysplayhouse.com/ArtsAndCrafts/index.html,No keyword given
111,http://www.coloringpaintinggames.com/,"coloring, painting, games, online, kids, coloringpaintinggames"
112,http://www.janbrett.com/i_love_my_dad.htm,"Jan Brett, Children's Books"
113,http://www.benscoloringpages.com/index.php,"coloring book, coloring pictures, free coloring pages, coloring sheets,  coloring, drawing books, easter coloring, free drawing, free printable coloring, haloween coloring, kids activities, kids crafts, online coloring, printable coloring pages."
114,http://www.coloringpages24.com/,"online, coloring, coloring book, pages, free, printable, computer"
115,http://www.hellokids.com/,No keyword given
116,http://www.lil-fingers.com/holidays/halloween/,"storybooks, halloween, ghosts, spiders, boo, holoween, toddler activities, child game"
117,http://www.aliang.net/literature/the_nursery_alice/tna_ch01.html,"www.aliang.net,aliang.net,aliang studio,aliang's InfoSite,literature,Lewis Carroll,Carroll,The Nursery Alice,Charles Lutwidge Dodgson,Dodgson,Alice in Wonderland"
118,http://kidshealth.org/en/kids/feeling/,"feelings, emotions, emotional problems, dealing with emotions, handling my feelings, stress, sadness, anger, depression, family problems, kids, kids health problems, kids' health problems, sick, healthy, body, bodies, k-8, girls, boys, children, feelings, families, parents"
119,http://www.cyke.com/forest.swf,No keyword given
120,http://www.quiz-tree.com/Sight-Words_main.html,No keyword given
121,http://www.tachyonlabs.com/sam/samslego.html,"Samuel Dashiell Shemitz,Samuel Shemitz,Sam Shemitz,Lego;Lego stories"
122,http://www.vectorkids.com/,"vectorkids, math flashcards, flashcards, elementary, middle school, junior high, learning tools, learning for kids, multiplication table, State Capitals, fractions, addition, subtraction, multiplication, division"
123,http://www.biddingtons.com/content/myartwattson.html,"childen, kids, art, painting,  artists, visual, pictures, color, shape, detail,  projects, contemporary, auctions, online, crayons, Biddington's, Kate Wattson, Susan Kaprov, studio, oil,  pastels, portraits, Brooklyn, Dumbo, New York, biddingtons, upmarket, gallery, still life, nature morte, National Academy of Design "
124,http://cust.idl.com.au/boyd/,No keyword given
125,http://www.bry-backmanor.org/,"Preschool, Special Needs, Home
      School, Teachers"
126,http://www.bluebonnetvillage.com/kids.htm,No keyword given
127,http://www.preschooleducation.com/afire.shtml,No keyword given
128,http://www.everythingpreschool.com/art/crafts.htm,"Preschool art, preschool crafts, pre-k art ideas, daycare art, daycare crafts, childcare art, childcare crafts, coloring, preschool coloring"
129,http://www.primarygames.com/reading.php,No keyword given
130,http://www.primarygames.com/math.php,No keyword given
131,http://www.tikatok.com/,"writing,creativity,children,kids activities,publish children's books"
132,http://nurie.main.jp/,"coloring, coloring pages, coloring website, coloring pictures, puzzles"
133,http://www.ssheen.clara.net/pleasure.htm,No keyword given
134,http://www.kinderdancealamocity.com/,No keyword given
135,http://www.growley.com/cmas/,"christmas,tree,snowman,nativity,santa,claus,ornaments, 
clipart,creche,xmas,elf,elves,elfland,reindeer,workshop,holiday,season,kids,activities,
holiday,fun,village,arrange a nativity,online nativity,rudolph,mrs. claus,santa claus,
write santa,christmas recipes,christmas tree decoration,
crèche,santa's workshop,santa's reindeer,snow,snowman,snowwoman,holiday,christmas season,
nativity scene,mrs. claus recipes,kids Christmas activities,virtual christmas tree,
decorate a virtual christmas tree,xmas fun,xmas tree,decorate an xmas tree,Christmas sites,
Christmas ornaments,xmas ornaments,decorate a tree,christmas tree,christmas games,
christmas fun,Christmas village,Christmas games,"
136,http://www.castlearcana.com/christmas/tree/index.html,No keyword given
137,http://www.bls.gov/k12/,No keyword given
138,http://www.scoutscan.com/cubs/cubgam01.html,"Scouting, Scouts Canada, Outdoors, Scouts, Camping, Camps, Leaders, Leadership, Toronto, Songs, Games, Spiritual, Skits, Ontario, Haliburton, Jamboree, Beavers, Cubs, Scouts, Venturers, Rovers, Fundraising, Scoutrees, Gilwell, Baden-Powell, Nova Scotia, New Brunswick, Prince Edward Island, PEI, Newfoundland, Quebec, Manitoba, Saskatchewan, Alberta, British Colombia, Yukon, Nunavut, Northwest Territories, Regions, Districts, Areas, Scout, Troops, BPSAC, Knots, Campfires, Jim Speirs"
139,http://www.kid-at-art.com/htdoc/lesson44.html,No keyword given
140,http://www.cyh.com/HealthTopics/HealthTopicDetailsKids.aspx?p=335&np=285&id=1607,smoking; cigarettes; tobacco; addiction; addictive; nicotine; chemicals; disease; smoke. ;
141,http://www.primarygames.com/storybooks/bookshelf.htm,No keyword given
142,http://www.kidstuffcanada.com/,No keyword given
143,http://kids.aol.com/videos/music-videos/,No keyword given
144,http://www.donnasholidaysentiments.com/applets/snowman/buildsnowman.html,"childrens, kids, activities, online, fun, interactive, games, java, applets, animation, stories, snowman, build, poems, christmas, entertainment, drag, drop, christian, religious, greetings, cards, software, downloads, xmas, holidays, themes"
145,http://www.kidsforsavingearth.org/,No keyword given
146,http://www.lovemyscience.com/,"science, experiments, kids, gravity, lights, floating, sinking, mixing, separating, absorption, magnets, heat, pressure"
147,http://www.theotherpages.org/spy/,"game, i spy, guessing, colors,numbers, light, shadow, shapes, sharing, spanoudi, spanoudis"
148,http://www.sciencebob.com/,No keyword given
149,http://www.write4fun.net/,No keyword given
150,http://kids.niehs.nih.gov/,No keyword given
151,http://www.paddythebeaver.com/,"children's books, stories, games, beavers, educational, animals"
152,http://superyo.nuxit.net/Razmoket/index-e.html,"Rugrats, Razmoket, Razmokets, razmoket, razmokets, English, Tommy, Dil, Dylan, Charles, Crandall, Phil, Lil, Philip, Lillian, Angelica, Kimi, Suzie, Stu, Didi, Lou, Boris, Minka, Betty, Howard, Charles, Norbert, Chazz, Melinda, Kira, Randy, Lucy, Jonhatan, Drew, Charlotte, Spike, Fluffy, Finster, Pickles, Carmichael, De Ville, baby, Nickelodeon, Klasky, Csupo, diaper, diapie, Lipshitz, Cynthia, Reptar, movie, Paris, list, summary, picture, episode, character, object, music, baby, bottle"
153,http://www.mingoville.com/,No keyword given
154,http://www.esl-kids.com/,"esl kids, esl games for kids, esl kids worksheets, esl activity, teaching esl, flashcards, printable flashcards, alphabet flashcards, free flashcards, kids songs, nursery rhymes, esl games, kids games, classroom"
155,http://kidshealth.org/en/kids/hate-school.html,"i hate school, school, bully, fights, friends, school sucks, bullies, i feel different, headaches, my stomach hurts, butterflies in stomach, throwing up, having trouble sleeping, thoughts, keeping a journal, it's hard to read, picked on, teased, teasing, nobody likes me, learning disorders, school is hard, confused, confident, math, reading, spelling, history, elementary, junior high, middle"
156,http://kidshealth.org/en/kids/repeating.html,...
157,http://www.bostonchildrensmuseum.org/,No keyword given
158,http://ncpamd.com/family-therapy/,No keyword given
159,http://kidshealth.org/en/kids/sport-safety.html,"sports, getting hurt, injury, injuries, playing, preventing sports injuries, helmets, pads, protective gear, equipment, warming up, rules, communication, teammates, eye protection, goggles, face masks, mouth guards, fractures, coaches, athletes, pay attention, rice, rest, ice, compression, elevation, swelling, inflammation, football, basketball, hockey, skating, snowboarding, racquet, baseball, softball, soccer, skiing, cricket, boating"
160,http://kidshealth.org/en/kids/pyramid.html,"food guide pyramids, food guide plate, MyPlate, MyPlate.gov, new pyramid, pyramid, peeramid, peramid, piramid, diets, nutrition, servings, food groups, nutrients, bread, cereal, rice, pasta, carbohydrates, vitamins, iron, vegetables, fruits, milk, yogurt, cheese, calcium, meat, poultry, fish, beans, eggs, nuts, fats, oils, sweets, proteins, fats, poultry, minerals, percent daily values, serving sizes, calories"
161,http://home.freeuk.com/elloughton13/india.htm,"India, Divali, Diwali, Kerala, Bombay, Mumbai, Jaipur, Mysore, Tiger, Indian Elephants, kids, backwaters, India festivals, happy diwali,deepavali"
162,http://kidshealth.org/en/kids/foster-families.html,...
163,http://tiki.oneworld.net/food/,"food, life, guide, people, yummy, yukky, nibble, download, pictures, popups, hamburgers, candy bars, fish, kitchens, industry, eat, bad foods, health, kids, commercials, ads, animals, farming, fashions, hungry, people, business, money"
164,http://www.nature.ca/notebooks/english/iceage.htm,"ice ages, glaciation, Quaternary Period, Pleistocene Epoch, glaciers, nature, natural science, natural history, Canadian Museum of Nature"
165,http://www.cyh.com/HealthTopics/HealthTopicDetailsKids.aspx?p=335&np=285&id=2495,drugs; addiction; compulsive; behaviours; smoking; alcohol; inhalants; glue; sniffing; legal; illegal; eating; disorders; exercise;
166,http://kidshealth.org/en/kids/self-esteem.html,"self esteem, selfesteem, self-esteem, confidence, value, feelings, emotions, bullies, divorce, moving, sad, sadness, talking, puberty, fat, thin, friends, school, problems, i don't like myself, how can i improve my self esteem, low self esteem, high self esteem"
167,http://kidshealth.org/en/kids/pressure.html,"sports, pressure, sidelines, compete, teams, win, lose, winning, losing, competitions, games, butterflies, making mistakes, adrenaline, stomachaches, headaches, stress, opponents, playing,  fitness, teammates, practices, games, coach,  athlete, football, basketball, hockey, skating, racquet, baseball, softball, soccer, skiing, cricket"
168,http://kidshealth.org/en/kids/fat-thin.html,...
169,http://kidshealth.org/en/kids/gun-safety.html,"guns, gun safety, danger, dangerous, accidents, shooting, shot, targets, bullets, bullet wounds, firearms, gun control, gun-related injuries, gun-related deaths, ammunitions, triggers, violence, school violence, gun violence, what should i do if i find a gun?, gun shots, loaded guns, firearms accidents, general pediatrics"
170,http://kidshealth.org/en/kids/single-parents.html,"mom, dad, divorce, separated, single, parents, working, family, die, sadness, stress, anger, feelings, loneliness, alone, single parent, single mother, single father, parents are separated, seperated, divorced, moving, step parents, stepparents, stepmoms, stepdads, dating, dates, parents dating, remarried, getting remarried, split up, parents fighting, fights, family fights, new house, move to a new house, moms, dads, mothers, fathers, moving out, live with mom, live with dad, custody, single custody, shared custody, visitation"
171,http://www.crayola.com/crafts/,No keyword given
172,http://www.kzone.com.au/,No keyword given
173,http://www.factmonster.com/encyclopedia/people/frankenthaler-helen.html,No keyword given
174,http://www.factmonster.com/encyclopedia/people/klimt-gustav.html,No keyword given
175,http://www.factmonster.com/encyclopedia/people/magritte-rene.html,No keyword given
176,http://www.factmonster.com/encyclopedia/people/ma-yuan.html,No keyword given
177,http://www.factmonster.com/encyclopedia/people/mondrian-piet.html,No keyword given
178,http://www.factmonster.com/encyclopedia/people/morisot-berthe.html,No keyword given
179,http://www.factmonster.com/encyclopedia/people/fragonard-jean-honore.html,No keyword given
180,http://www.factmonster.com/encyclopedia/people/ingres-jean-auguste-dominique.html,No keyword given
181,http://www.factmonster.com/encyclopedia/people/leger-fernand.html,No keyword given
182,http://www.factmonster.com/encyclopedia/people/modigliani-amedeo.html,No keyword given
183,http://www.factmonster.com/encyclopedia/people/hiroshige.html,No keyword given
184,http://www.factmonster.com/encyclopedia/people/gentileschi-artemisia.html,No keyword given
185,http://www.factmonster.com/encyclopedia/people/rauschenberg-robert.html,No keyword given
186,http://www.bbc.co.uk/programmes/b03g64py,No keyword given
187,http://www.jerrymuskrat.com/,"Jerry Muskrat, animated series, episodes, stories, education, environment, animals, outreach, museums,home"
188,http://gardenofpraise.com/leaders.htm,No keyword given
189,http://members.tripod.com/~baker_ryann/index.html,"rugrats, nickelodeon, pictures, sounds, postcards, ryann, links"
190,http://kidtoons.tripod.com/rugrats.html,enter keywords here
191,http://ngexplorer.cengage.com/pathfinder/,explorer magazine
192,http://myownrainbow.tripod.com/,No keyword given
193,http://www.redboots.com.au/,No keyword given
194,http://www.kidsgamehouse.com/,No keyword given
195,http://www.kizclub.com/,"English, ESL, phonics, Kindergarten, K-12, Crafts, Rhymes, preschool,teacher, worksheets, coloring pages, printables, storybooks, clipart, flashcards"
196,http://www.imagitek.com/james/default.html,No keyword given
197,http://www.shelsilverstein.com/,"Shel Silverstein, Where the Sidewalk Ends, Giving Tree, Light in the Attic, Falling Up, Lafcadio, Missing Piece, poetry, children&rsquo;s books, poems for children, kids fun, HarperCollins"
198,http://detmich.com/,"games,toys,flower garden,spin art,sand art,slot cars,tartan design,snowflakes,flagpole,word search,number triangle,light bulb,lightbulb,checkers,rings,tower of Hanoi,marbles,wooden blocks, anaglyph, 3d drawing, red/cyan glasses, Earth line art,old-time radio"
199,http://www.paulysplayhouse.com/,No keyword given
200,http://www.groovygames.com/kitty/,No keyword given
201,http://www.dance-kids.org/,No keyword given
202,http://www.cheshirechildrensmuseum.org/,No keyword given
203,http://www.caillou.com/,"Caillou, Caillou official, Caillou official website, Caillou official site, Caillou website
"
204,http://www.time-for-time.com/,No keyword given
205,http://www.angelfire.com/mo/sasschool/ian.html,No keyword given
206,http://www.mathplayground.com/,"math games, math, Math Playground, problem solving, math practice, 1st grade math, 2nd grade math, 3rd grade math, 4th grade math, 5th grade math, 6th grade math, fraction games, money games, algebra games, geometry games, multiplication games, addition games, subtraction games, division games, math facts, free math games, online math games, common core math"
208,http://www.cnn.com/EVENTS/1996/earth_day/kids.html,No keyword given
209,http://poetryzone.co.uk/,No keyword given
210,http://www.poetry4kids.com/,No keyword given
211,http://www.dps.state.ak.us/ast/safetybear.aspx,No keyword given
212,http://www.primarygames.com/holidays/hanukkah/hanukkah.htm,No keyword given
213,http://www.dltk-holidays.com/dad/,"kids, crafts, children, dad, father, father's day, gifts, cards, games, songs, poems, worksheets"
214,http://www.edhelper.com/measurement.htm,No keyword given
215,http://www.christiananswers.net/kids/sounds.html,No keyword given
216,http://www.chabotspace.org/,No keyword given
217,http://www.eia.gov/kids/,
218,http://www.childrenswebmagazine.com/,No keyword given
219,http://spaceplace.nasa.gov/,No keyword given
220,http://www.giraffeinaturtleneck.blogspot.com/,No keyword given
221,http://www.lil-fingers.com/holidays/christmas/,"Christmas Games, xmas storybooks, Christmas activities, kids"
223,http://www.readingjuice.co.uk/,No keyword given
224,http://extension.illinois.edu/foodfun/,No keyword given
225,http://www.yescoloring.com/,coloring pages free
226,http://www.foodchamps.org/,"kid cooking, children cooking, kids cooking recipe, healthy cooking for kids, cooking project for kids, easy cooking for kids, produce for better health, more matters, kid coloring pages, free kid coloring pages, online coloring pages for kids, free online coloring page for kids, kids shopping planner, pbh, shopping planner for kids, fruits and veggies, kids grocery shopping, kids shopping activity, kid shopping tracker, kids scavenger hunt, scavenger hunt for kids, kids scavenger hunt, how much is a cup, cup equivalents, how much does a cup equal, kids coloring sheets, how much equals a cup, fun kids recipes, easy kids recipes, fun kid recipe ideas, fun family recipes, fun kid recipe easy, child recipe, kid recipes"
227,http://www.petsintheclassroom.org/Kids/,No keyword given
228,http://www.kinderwebgames.com/,No keyword given
229,http://members.tripod.com/ah_coo/index.htm,"nursery rhymes, poems, bedtimes stories, lullabies, songs, Precious Moments, Dreamsicles, online games, java games, games, art activities, fairies, toys, Amazon.com"
230,http://www.paddington.com/,"michael bond, micheal bond, michail bond, mikal bond, mikael bond, paddington, paddington bear, pastuso, please look after this bear, aunt lucy, darkest peru"
231,http://kidshealth.org/en/kids/fluoride.html,...
232,http://kidshealth.org/en/kids/laryngitis.html,...
233,http://kidshealth.org/en/kids/nut-allergy.html,"peanut, nut, food allergy, anaphylaxis, anaphylactic shock, epinephrine, immune system, nut allergy, peanut allergy, severe, immunology, foods to avoid, ingredients to avoid, symptoms, antibodies, antibody, mast cells, legume, eczema, asthma, challenge"
234,http://kidshealth.org/en/teens/hearing-impairment.html,"deaf, hearing impairment, deafness, hard of hearing, hearing impaired, can't hear, tinnitus, ringing in the ears, noise and hearing, ear, how the ear hears, sound waves, ossicles, pinna, cochlea, auditory nerves, eardrums, conductive, sensorineural, born deaf, otitis media, ear infection, ear blocked, american sign language, hearing aids, audiologists, audiologist, audiolugist, otolaryngologists, otolaryngologist, cochlear implants, protecting hearing, lipreading, sign language, CD1Otolaryngology, CD1Audiology, CD1Central Auditory Processing Disorder, CD1Hearing Loss, CD1Cochlear Implants, CD1Auditory Neuropathy Spectrum Disorder"
235,http://www.cyh.com/HealthTopics/HealthTopicDetailsKids.aspx?p=335&np=287&id=1588,self-esteem; self; esteem; feeling; high; low; honest; believe; confident; respect; encourage; unhappy; victim; miserable; hopeless; compliment; mistake; positive; confidence; self confidence;
236,http://kidshealth.org/en/kids/food-allergies.html,"food allergies, what are food allergies?, immune systems, antibodies, chemicals, histamines, ibd, bowels, irritable, gas, gasy, gassy, wheals, antihistamines, peanuts, shellfish, strawberries, dairy, milk, lactose intolerance, eggs, hives, eczema, anaphylaxis, invaders, epinephrine, epipen, genetic, genes, skin tests, allergies, allergys, allergic to food, allergic, alergic, allergick, alergick, allurgic"
237,http://kidshealth.org/en/kids/poll-worry.html,...
238,http://kidshealth.org/en/kids/bullies.html,"bullies, bullying, teasing, jealousy, hurtful, name calling, pushing, punching, kicking, shoving, make fun of, what should I do about bullies, angry, fearful, frightened, taking control, standing up to bullies, looking for attention, abuse, abusive"
